Year,Month_Num,Month_Name,Quarter,Region,Product_ID,Product_Name,Category,Budgeted_Revenue,Budgeted_COGS,Budgeted_GP,Budgeted_Units
2022,1,January,Q1,West,P005,Monitor 27inch,Electronics,7821.61,3754.37,4067.24,235
2022,1,January,Q1,Central,P005,Monitor 27inch,Electronics,32236.03,15473.29,16762.74,251
2022,1,January,Q1,North,P006,Accounting Software,Software,21433.52,4286.7,17146.82,42
2022,1,January,Q1,South,P006,Accounting Software,Software,9798.15,1959.63,7838.52,93
2022,1,January,Q1,East,P006,Accounting Software,Software,32434.87,6486.97,25947.9,134
2022,1,January,Q1,West,P006,Accounting Software,Software,32016.07,6403.21,25612.86,55
2022,1,January,Q1,Central,P006,Accounting Software,Software,24421.18,4884.24,19536.94,49
2022,1,January,Q1,North,P007,ERP License,Software,12630.06,2273.41,10356.65,30
2022,1,January,Q1,South,P007,ERP License,Software,35374.61,6367.43,29007.18,265
2022,1,January,Q1,East,P007,ERP License,Software,30695.79,5525.24,25170.55,102
2022,1,January,Q1,West,P007,ERP License,Software,28774.57,5179.42,23595.15,174
2022,1,January,Q1,Central,P007,ERP License,Software,35862.33,6455.22,29407.11,275
2022,1,January,Q1,North,P008,Mechanical Keyboard,Electronics,15433.95,6482.26,8951.69,24
2022,1,January,Q1,South,P008,Mechanical Keyboard,Electronics,37299.48,15665.78,21633.7,114
2022,1,January,Q1,East,P008,Mechanical Keyboard,Electronics,20975.79,8809.83,12165.96,148
2022,1,January,Q1,West,P008,Mechanical Keyboard,Electronics,15080.29,6333.72,8746.57,282
2022,1,January,Q1,Central,P008,Mechanical Keyboard,Electronics,5266.79,2212.05,3054.74,160
2022,1,January,Q1,North,P009,Webcam HD,Electronics,9908.74,4359.85,5548.89,84
2022,1,January,Q1,South,P009,Webcam HD,Electronics,22130.93,9737.61,12393.32,189
2022,1,January,Q1,East,P009,Webcam HD,Electronics,24682.32,10860.22,13822.1,223
2022,1,January,Q1,West,P009,Webcam HD,Electronics,10620.78,4673.14,5947.64,193
2022,1,January,Q1,Central,P009,Webcam HD,Electronics,24792.68,10908.78,13883.9,34
2022,1,January,Q1,North,P010,Headset Pro,Electronics,27109.88,12470.54,14639.34,275
2022,1,January,Q1,South,P010,Headset Pro,Electronics,26186.69,12045.88,14140.81,162
2022,1,January,Q1,East,P010,Headset Pro,Electronics,14606.77,6719.11,7887.66,51
2022,1,January,Q1,West,P010,Headset Pro,Electronics,21987.0,10114.02,11872.98,129
2022,1,January,Q1,Central,P010,Headset Pro,Electronics,19597.2,9014.71,10582.49,193
2022,2,February,Q1,North,P001,Laptop Pro 15,Electronics,22350.65,11622.34,10728.31,133
2022,2,February,Q1,South,P001,Laptop Pro 15,Electronics,9644.32,5015.05,4629.27,295
2022,2,February,Q1,East,P001,Laptop Pro 15,Electronics,13065.94,6794.29,6271.65,135
2022,2,February,Q1,West,P001,Laptop Pro 15,Electronics,6691.35,3479.5,3211.85,91
2022,2,February,Q1,Central,P001,Laptop Pro 15,Electronics,31310.78,16281.61,15029.17,66
2022,2,February,Q1,North,P002,Wireless Mouse,Electronics,30742.35,12296.94,18445.41,268
2022,2,February,Q1,South,P002,Wireless Mouse,Electronics,25075.88,10030.35,15045.53,91
2022,2,February,Q1,East,P002,Wireless Mouse,Electronics,11768.75,4707.5,7061.25,64
2022,2,February,Q1,West,P002,Wireless Mouse,Electronics,30776.87,12310.75,18466.12,110
2022,2,February,Q1,Central,P002,Wireless Mouse,Electronics,11662.04,4664.82,6997.22,143
2022,2,February,Q1,North,P003,Office Chair,Furniture,17279.51,9503.73,7775.78,215
2022,2,February,Q1,South,P003,Office Chair,Furniture,17909.42,9850.18,8059.24,22
2022,2,February,Q1,East,P003,Office Chair,Furniture,28327.74,15580.26,12747.48,84
2022,2,February,Q1,West,P003,Office Chair,Furniture,28358.23,15597.03,12761.2,130
2022,2,February,Q1,Central,P003,Office Chair,Furniture,12813.6,7047.48,5766.12,100
2022,2,February,Q1,North,P004,Standing Desk,Furniture,33634.17,19507.82,14126.35,292
2022,2,February,Q1,South,P004,Standing Desk,Furniture,24340.99,14117.77,10223.22,97
2022,2,February,Q1,East,P004,Standing Desk,Furniture,6885.18,3993.4,2891.78,44
2022,2,February,Q1,West,P004,Standing Desk,Furniture,11168.2,6477.56,4690.64,144
2022,2,February,Q1,Central,P004,Standing Desk,Furniture,17545.22,10176.23,7368.99,135
2022,2,February,Q1,North,P005,Monitor 27inch,Electronics,36750.21,17640.1,19110.11,63
2022,2,February,Q1,South,P005,Monitor 27inch,Electronics,7203.3,3457.58,3745.72,31
2022,2,February,Q1,East,P005,Monitor 27inch,Electronics,16667.95,8000.62,8667.33,194
2022,2,February,Q1,West,P005,Monitor 27inch,Electronics,29436.48,14129.51,15306.97,94
2022,2,February,Q1,Central,P005,Monitor 27inch,Electronics,17093.4,8204.83,8888.57,212
2022,2,February,Q1,North,P006,Accounting Software,Software,22880.06,4576.01,18304.05,52
2022,2,February,Q1,South,P006,Accounting Software,Software,38775.72,7755.14,31020.58,201
2022,2,February,Q1,East,P006,Accounting Software,Software,21611.8,4322.36,17289.44,250
2022,2,February,Q1,West,P006,Accounting Software,Software,13235.33,2647.07,10588.26,166
2022,2,February,Q1,Central,P006,Accounting Software,Software,28225.56,5645.11,22580.45,131
2022,2,February,Q1,North,P007,ERP License,Software,13631.54,2453.68,11177.86,62
2022,2,February,Q1,South,P007,ERP License,Software,29875.16,5377.53,24497.63,259
2022,2,February,Q1,East,P007,ERP License,Software,36829.13,6629.24,30199.89,293
2022,2,February,Q1,West,P007,ERP License,Software,8612.75,1550.29,7062.46,212
2022,2,February,Q1,Central,P007,ERP License,Software,22729.02,4091.22,18637.8,167
2022,2,February,Q1,North,P008,Mechanical Keyboard,Electronics,19775.75,8305.82,11469.93,80
2022,2,February,Q1,South,P008,Mechanical Keyboard,Electronics,25046.91,10519.7,14527.21,200
2022,2,February,Q1,East,P008,Mechanical Keyboard,Electronics,17604.11,7393.73,10210.38,73
2022,2,February,Q1,West,P008,Mechanical Keyboard,Electronics,10340.16,4342.87,5997.29,275
2022,2,February,Q1,Central,P008,Mechanical Keyboard,Electronics,35002.86,14701.2,20301.66,239
2022,2,February,Q1,North,P009,Webcam HD,Electronics,23703.75,10429.65,13274.1,110
2022,2,February,Q1,South,P009,Webcam HD,Electronics,36036.72,15856.16,20180.56,234
2022,2,February,Q1,East,P009,Webcam HD,Electronics,8325.04,3663.02,4662.02,101
2022,2,February,Q1,West,P009,Webcam HD,Electronics,36692.32,16144.62,20547.7,184
2022,2,February,Q1,Central,P009,Webcam HD,Electronics,35332.08,15546.12,19785.96,228
2022,2,February,Q1,North,P010,Headset Pro,Electronics,9534.88,4386.04,5148.84,50
2022,2,February,Q1,South,P010,Headset Pro,Electronics,12969.73,5966.08,7003.65,55
2022,2,February,Q1,East,P010,Headset Pro,Electronics,11737.9,5399.43,6338.47,300
2022,2,February,Q1,West,P010,Headset Pro,Electronics,29858.67,13734.99,16123.68,264
2022,2,February,Q1,Central,P010,Headset Pro,Electronics,30108.79,13850.04,16258.75,145
2022,3,March,Q1,North,P001,Laptop Pro 15,Electronics,12093.04,6288.38,5804.66,268
2022,3,March,Q1,South,P001,Laptop Pro 15,Electronics,12093.96,6288.86,5805.1,99
2022,3,March,Q1,East,P001,Laptop Pro 15,Electronics,9664.21,5025.39,4638.82,213
2022,3,March,Q1,West,P001,Laptop Pro 15,Electronics,39675.51,20631.27,19044.24,282
2022,3,March,Q1,Central,P001,Laptop Pro 15,Electronics,27518.88,14309.82,13209.06,274
2022,3,March,Q1,North,P002,Wireless Mouse,Electronics,9166.25,3666.5,5499.75,97
2022,3,March,Q1,South,P002,Wireless Mouse,Electronics,22524.31,9009.72,13514.59,40
2022,3,March,Q1,East,P002,Wireless Mouse,Electronics,6526.75,2610.7,3916.05,145
2022,3,March,Q1,West,P002,Wireless Mouse,Electronics,36245.21,14498.08,21747.13,145
2022,3,March,Q1,Central,P002,Wireless Mouse,Electronics,39503.87,15801.55,23702.32,96
2022,3,March,Q1,North,P003,Office Chair,Furniture,20812.16,11446.69,9365.47,57
2022,3,March,Q1,South,P003,Office Chair,Furniture,16715.52,9193.54,7521.98,243
2022,3,March,Q1,East,P003,Office Chair,Furniture,27536.97,15145.33,12391.64,277
2022,3,March,Q1,West,P003,Office Chair,Furniture,28303.94,15567.17,12736.77,126
2022,3,March,Q1,Central,P003,Office Chair,Furniture,14224.34,7823.39,6400.95,294
2022,3,March,Q1,North,P004,Standing Desk,Furniture,19333.78,11213.59,8120.19,123
2022,3,March,Q1,South,P004,Standing Desk,Furniture,35371.69,20515.58,14856.11,56
2022,3,March,Q1,East,P004,Standing Desk,Furniture,28056.69,16272.88,11783.81,288
2022,3,March,Q1,West,P004,Standing Desk,Furniture,11807.23,6848.19,4959.04,70
2022,3,March,Q1,Central,P004,Standing Desk,Furniture,22736.12,13186.95,9549.17,35
2022,3,March,Q1,North,P005,Monitor 27inch,Electronics,30762.21,14765.86,15996.35,103
2022,3,March,Q1,South,P005,Monitor 27inch,Electronics,31314.68,15031.05,16283.63,114
2022,3,March,Q1,East,P005,Monitor 27inch,Electronics,31648.75,15191.4,16457.35,132
2022,3,March,Q1,West,P005,Monitor 27inch,Electronics,25556.24,12267.0,13289.24,93
2022,3,March,Q1,Central,P005,Monitor 27inch,Electronics,33718.17,16184.72,17533.45,163
2022,3,March,Q1,North,P006,Accounting Software,Software,27215.34,5443.07,21772.27,132
2022,3,March,Q1,South,P006,Accounting Software,Software,19956.04,3991.21,15964.83,207
2022,3,March,Q1,East,P006,Accounting Software,Software,28884.09,5776.82,23107.27,217
2022,3,March,Q1,West,P006,Accounting Software,Software,38341.99,7668.4,30673.59,153
2022,3,March,Q1,Central,P006,Accounting Software,Software,37553.78,7510.76,30043.02,170
2022,3,March,Q1,North,P007,ERP License,Software,29822.35,5368.02,24454.33,162
2022,3,March,Q1,South,P007,ERP License,Software,23957.53,4312.36,19645.17,81
2022,3,March,Q1,East,P007,ERP License,Software,5768.19,1038.27,4729.92,90
2022,3,March,Q1,West,P007,ERP License,Software,22529.07,4055.23,18473.84,231
2022,3,March,Q1,Central,P007,ERP License,Software,14223.81,2560.29,11663.52,234
2022,3,March,Q1,North,P008,Mechanical Keyboard,Electronics,24415.39,10254.46,14160.93,190
2022,3,March,Q1,South,P008,Mechanical Keyboard,Electronics,11143.19,4680.14,6463.05,47
2022,3,March,Q1,East,P008,Mechanical Keyboard,Electronics,32648.68,13712.45,18936.23,249
2022,3,March,Q1,West,P008,Mechanical Keyboard,Electronics,32307.96,13569.34,18738.62,111
2022,3,March,Q1,Central,P008,Mechanical Keyboard,Electronics,19910.84,8362.55,11548.29,31
2022,3,March,Q1,North,P009,Webcam HD,Electronics,33556.42,14764.82,18791.6,130
2022,3,March,Q1,South,P009,Webcam HD,Electronics,21776.22,9581.54,12194.68,157
2022,3,March,Q1,East,P009,Webcam HD,Electronics,11889.67,5231.45,6658.22,76
2022,3,March,Q1,West,P009,Webcam HD,Electronics,23698.01,10427.12,13270.89,210
2022,3,March,Q1,Central,P009,Webcam HD,Electronics,4686.05,2061.86,2624.19,120
2022,3,March,Q1,North,P010,Headset Pro,Electronics,24807.71,11411.55,13396.16,256
2022,3,March,Q1,South,P010,Headset Pro,Electronics,43871.73,20181.0,23690.73,23
2022,3,March,Q1,East,P010,Headset Pro,Electronics,24889.26,11449.06,13440.2,272
2022,3,March,Q1,West,P010,Headset Pro,Electronics,36434.19,16759.73,19674.46,90
2022,3,March,Q1,Central,P010,Headset Pro,Electronics,25850.82,11891.38,13959.44,286
2022,4,April,Q2,North,P001,Laptop Pro 15,Electronics,23911.33,12433.89,11477.44,46
2022,4,April,Q2,South,P001,Laptop Pro 15,Electronics,30764.75,15997.67,14767.08,137
2022,4,April,Q2,East,P001,Laptop Pro 15,Electronics,35218.05,18313.39,16904.66,169
2022,4,April,Q2,West,P001,Laptop Pro 15,Electronics,33366.3,17350.48,16015.82,93
2022,4,April,Q2,Central,P001,Laptop Pro 15,Electronics,18772.27,9761.58,9010.69,99
2022,4,April,Q2,North,P002,Wireless Mouse,Electronics,8682.34,3472.94,5209.4,158
2022,4,April,Q2,South,P002,Wireless Mouse,Electronics,22820.16,9128.06,13692.1,222
2022,4,April,Q2,East,P002,Wireless Mouse,Electronics,35281.45,14112.58,21168.87,247
2022,4,April,Q2,West,P002,Wireless Mouse,Electronics,4895.42,1958.17,2937.25,228
2022,4,April,Q2,Central,P002,Wireless Mouse,Electronics,19649.43,7859.77,11789.66,286
2022,4,April,Q2,North,P003,Office Chair,Furniture,30082.95,16545.62,13537.33,77
2022,4,April,Q2,South,P003,Office Chair,Furniture,9879.19,5433.55,4445.64,97
2022,4,April,Q2,East,P003,Office Chair,Furniture,6386.05,3512.33,2873.72,45
2022,4,April,Q2,West,P003,Office Chair,Furniture,36420.55,20031.3,16389.25,157
2022,4,April,Q2,Central,P003,Office Chair,Furniture,12708.02,6989.41,5718.61,149
2022,4,April,Q2,North,P004,Standing Desk,Furniture,36687.61,21278.81,15408.8,128
2022,4,April,Q2,South,P004,Standing Desk,Furniture,34234.34,19855.92,14378.42,215
2022,4,April,Q2,East,P004,Standing Desk,Furniture,6536.4,3791.11,2745.29,280
2022,4,April,Q2,West,P004,Standing Desk,Furniture,16315.51,9463.0,6852.51,296
2022,4,April,Q2,Central,P004,Standing Desk,Furniture,29992.59,17395.7,12596.89,63
2022,4,April,Q2,North,P005,Monitor 27inch,Electronics,17572.29,8434.7,9137.59,191
2022,4,April,Q2,South,P005,Monitor 27inch,Electronics,21447.68,10294.89,11152.79,166
2022,4,April,Q2,East,P005,Monitor 27inch,Electronics,34410.93,16517.25,17893.68,88
2022,4,April,Q2,West,P005,Monitor 27inch,Electronics,6074.75,2915.88,3158.87,209
2022,4,April,Q2,Central,P005,Monitor 27inch,Electronics,29635.58,14225.08,15410.5,46
2022,4,April,Q2,North,P006,Accounting Software,Software,12881.01,2576.2,10304.81,94
2022,4,April,Q2,South,P006,Accounting Software,Software,21510.85,4302.17,17208.68,67
2022,4,April,Q2,East,P006,Accounting Software,Software,17547.12,3509.42,14037.7,20
2022,4,April,Q2,West,P006,Accounting Software,Software,8294.91,1658.98,6635.93,189
2022,4,April,Q2,Central,P006,Accounting Software,Software,22500.92,4500.18,18000.74,263
2022,4,April,Q2,North,P007,ERP License,Software,28550.25,5139.05,23411.2,291
2022,4,April,Q2,South,P007,ERP License,Software,8065.43,1451.78,6613.65,44
2022,4,April,Q2,East,P007,ERP License,Software,19625.97,3532.67,16093.3,280
2022,4,April,Q2,West,P007,ERP License,Software,6700.18,1206.03,5494.15,54
2022,4,April,Q2,Central,P007,ERP License,Software,7650.95,1377.17,6273.78,159
2022,4,April,Q2,North,P008,Mechanical Keyboard,Electronics,18255.5,7667.31,10588.19,227
2022,4,April,Q2,South,P008,Mechanical Keyboard,Electronics,31283.02,13138.87,18144.15,194
2022,4,April,Q2,East,P008,Mechanical Keyboard,Electronics,9336.79,3921.45,5415.34,189
2022,4,April,Q2,West,P008,Mechanical Keyboard,Electronics,17076.3,7172.05,9904.25,72
2022,4,April,Q2,Central,P008,Mechanical Keyboard,Electronics,22066.23,9267.82,12798.41,131
2022,4,April,Q2,North,P009,Webcam HD,Electronics,33672.06,14815.71,18856.35,183
2022,4,April,Q2,South,P009,Webcam HD,Electronics,27030.7,11893.51,15137.19,120
2022,4,April,Q2,East,P009,Webcam HD,Electronics,7174.25,3156.67,4017.58,26
2022,4,April,Q2,West,P009,Webcam HD,Electronics,11928.78,5248.66,6680.12,284
2022,4,April,Q2,Central,P009,Webcam HD,Electronics,24407.17,10739.15,13668.02,249
2022,4,April,Q2,North,P010,Headset Pro,Electronics,11968.94,5505.71,6463.23,250
2022,4,April,Q2,South,P010,Headset Pro,Electronics,38098.11,17525.13,20572.98,66
2022,4,April,Q2,East,P010,Headset Pro,Electronics,6516.67,2997.67,3519.0,256
2022,4,April,Q2,West,P010,Headset Pro,Electronics,10790.56,4963.66,5826.9,289
2022,4,April,Q2,Central,P010,Headset Pro,Electronics,41166.7,18936.68,22230.02,124
2022,5,May,Q2,North,P001,Laptop Pro 15,Electronics,36412.09,18934.29,17477.8,243
2022,5,May,Q2,South,P001,Laptop Pro 15,Electronics,9213.41,4790.97,4422.44,284
2022,5,May,Q2,East,P001,Laptop Pro 15,Electronics,28560.9,14851.67,13709.23,284
2022,5,May,Q2,West,P001,Laptop Pro 15,Electronics,29522.07,15351.48,14170.59,260
2022,5,May,Q2,Central,P001,Laptop Pro 15,Electronics,28643.54,14894.64,13748.9,286
2022,5,May,Q2,North,P002,Wireless Mouse,Electronics,17557.58,7023.03,10534.55,101
2022,5,May,Q2,South,P002,Wireless Mouse,Electronics,28307.17,11322.87,16984.3,41
2022,5,May,Q2,East,P002,Wireless Mouse,Electronics,26824.19,10729.68,16094.51,190
2022,5,May,Q2,West,P002,Wireless Mouse,Electronics,36717.56,14687.02,22030.54,117
2022,5,May,Q2,Central,P002,Wireless Mouse,Electronics,20397.46,8158.98,12238.48,296
2022,5,May,Q2,North,P003,Office Chair,Furniture,9158.51,5037.18,4121.33,236
2022,5,May,Q2,South,P003,Office Chair,Furniture,24698.66,13584.26,11114.4,96
2022,5,May,Q2,East,P003,Office Chair,Furniture,37983.02,20890.66,17092.36,206
2022,5,May,Q2,West,P003,Office Chair,Furniture,21949.56,12072.26,9877.3,280
2022,5,May,Q2,Central,P003,Office Chair,Furniture,14346.87,7890.78,6456.09,218
2022,5,May,Q2,North,P004,Standing Desk,Furniture,30956.75,17954.91,13001.84,68
2022,5,May,Q2,South,P004,Standing Desk,Furniture,36756.87,21318.98,15437.89,266
2022,5,May,Q2,East,P004,Standing Desk,Furniture,26309.7,15259.63,11050.07,54
2022,5,May,Q2,West,P004,Standing Desk,Furniture,26205.01,15198.91,11006.1,157
2022,5,May,Q2,Central,P004,Standing Desk,Furniture,31537.64,18291.83,13245.81,268
2022,5,May,Q2,North,P005,Monitor 27inch,Electronics,16215.48,7783.43,8432.05,123
2022,5,May,Q2,South,P005,Monitor 27inch,Electronics,4651.62,2232.78,2418.84,283
2022,5,May,Q2,East,P005,Monitor 27inch,Electronics,24463.44,11742.45,12720.99,256
2022,5,May,Q2,West,P005,Monitor 27inch,Electronics,15932.77,7647.73,8285.04,216
2022,5,May,Q2,Central,P005,Monitor 27inch,Electronics,32592.17,15644.24,16947.93,133
2022,5,May,Q2,North,P006,Accounting Software,Software,20229.95,4045.99,16183.96,209
2022,5,May,Q2,South,P006,Accounting Software,Software,7463.37,1492.67,5970.7,84
2022,5,May,Q2,East,P006,Accounting Software,Software,37016.69,7403.34,29613.35,173
2022,5,May,Q2,West,P006,Accounting Software,Software,29481.57,5896.31,23585.26,142
2022,5,May,Q2,Central,P006,Accounting Software,Software,5303.79,1060.76,4243.03,259
2022,5,May,Q2,North,P007,ERP License,Software,18500.68,3330.12,15170.56,23
2022,5,May,Q2,South,P007,ERP License,Software,42245.56,7604.2,34641.36,261
2022,5,May,Q2,East,P007,ERP License,Software,14003.6,2520.65,11482.95,24
2022,5,May,Q2,West,P007,ERP License,Software,35805.57,6445.0,29360.57,134
2022,5,May,Q2,Central,P007,ERP License,Software,42920.23,7725.64,35194.59,105
2022,5,May,Q2,North,P008,Mechanical Keyboard,Electronics,37053.51,15562.47,21491.04,260
2022,5,May,Q2,South,P008,Mechanical Keyboard,Electronics,36855.01,15479.1,21375.91,79
2022,5,May,Q2,East,P008,Mechanical Keyboard,Electronics,12909.17,5421.85,7487.32,276
2022,5,May,Q2,West,P008,Mechanical Keyboard,Electronics,21344.96,8964.88,12380.08,85
2022,5,May,Q2,Central,P008,Mechanical Keyboard,Electronics,36067.31,15148.27,20919.04,219
2022,5,May,Q2,North,P009,Webcam HD,Electronics,15303.73,6733.64,8570.09,51
2022,5,May,Q2,South,P009,Webcam HD,Electronics,4942.59,2174.74,2767.85,62
2022,5,May,Q2,East,P009,Webcam HD,Electronics,12804.91,5634.16,7170.75,92
2022,5,May,Q2,West,P009,Webcam HD,Electronics,20419.57,8984.61,11434.96,171
2022,5,May,Q2,Central,P009,Webcam HD,Electronics,22948.76,10097.45,12851.31,46
2022,5,May,Q2,North,P010,Headset Pro,Electronics,28289.84,13013.33,15276.51,267
2022,5,May,Q2,South,P010,Headset Pro,Electronics,36204.01,16653.84,19550.17,68
2022,5,May,Q2,East,P010,Headset Pro,Electronics,34781.92,15999.68,18782.24,263
2022,5,May,Q2,West,P010,Headset Pro,Electronics,10727.64,4934.71,5792.93,242
2022,5,May,Q2,Central,P010,Headset Pro,Electronics,28468.16,13095.35,15372.81,226
2022,6,June,Q2,North,P001,Laptop Pro 15,Electronics,33365.69,17350.16,16015.53,40
2022,6,June,Q2,South,P001,Laptop Pro 15,Electronics,29139.29,15152.43,13986.86,140
2022,6,June,Q2,East,P001,Laptop Pro 15,Electronics,16277.75,8464.43,7813.32,156
2022,6,June,Q2,West,P001,Laptop Pro 15,Electronics,5420.96,2818.9,2602.06,207
2022,6,June,Q2,Central,P001,Laptop Pro 15,Electronics,13052.14,6787.11,6265.03,164
2022,6,June,Q2,North,P002,Wireless Mouse,Electronics,14264.68,5705.87,8558.81,214
2022,6,June,Q2,South,P002,Wireless Mouse,Electronics,26299.15,10519.66,15779.49,254
2022,6,June,Q2,East,P002,Wireless Mouse,Electronics,18554.44,7421.78,11132.66,113
2022,6,June,Q2,West,P002,Wireless Mouse,Electronics,13878.25,5551.3,8326.95,58
2022,6,June,Q2,Central,P002,Wireless Mouse,Electronics,19924.28,7969.71,11954.57,26
2022,6,June,Q2,North,P003,Office Chair,Furniture,30744.51,16909.48,13835.03,165
2022,6,June,Q2,South,P003,Office Chair,Furniture,36202.33,19911.28,16291.05,235
2022,6,June,Q2,East,P003,Office Chair,Furniture,8419.62,4630.79,3788.83,191
2022,6,June,Q2,West,P003,Office Chair,Furniture,38077.85,20942.82,17135.03,78
2022,6,June,Q2,Central,P003,Office Chair,Furniture,10815.75,5948.66,4867.09,188
2022,6,June,Q2,North,P004,Standing Desk,Furniture,7343.31,4259.12,3084.19,69
2022,6,June,Q2,South,P004,Standing Desk,Furniture,6396.94,3710.23,2686.71,97
2022,6,June,Q2,East,P004,Standing Desk,Furniture,27955.26,16214.05,11741.21,278
2022,6,June,Q2,West,P004,Standing Desk,Furniture,6488.37,3763.25,2725.12,198
2022,6,June,Q2,Central,P004,Standing Desk,Furniture,40574.56,23533.24,17041.32,126
2022,6,June,Q2,North,P005,Monitor 27inch,Electronics,22447.72,10774.91,11672.81,192
2022,6,June,Q2,South,P005,Monitor 27inch,Electronics,36471.92,17506.52,18965.4,124
2022,6,June,Q2,East,P005,Monitor 27inch,Electronics,18310.85,8789.21,9521.64,279
2022,6,June,Q2,West,P005,Monitor 27inch,Electronics,38581.6,18519.17,20062.43,203
2022,6,June,Q2,Central,P005,Monitor 27inch,Electronics,38839.9,18643.15,20196.75,115
2022,6,June,Q2,North,P006,Accounting Software,Software,10524.11,2104.82,8419.29,226
2022,6,June,Q2,South,P006,Accounting Software,Software,35490.94,7098.19,28392.75,149
2022,6,June,Q2,East,P006,Accounting Software,Software,27506.3,5501.26,22005.04,278
2022,6,June,Q2,West,P006,Accounting Software,Software,34006.7,6801.34,27205.36,218
2022,6,June,Q2,Central,P006,Accounting Software,Software,23822.38,4764.48,19057.9,142
2022,6,June,Q2,North,P007,ERP License,Software,12664.25,2279.57,10384.68,126
2022,6,June,Q2,South,P007,ERP License,Software,10884.82,1959.27,8925.55,273
2022,6,June,Q2,East,P007,ERP License,Software,13824.95,2488.49,11336.46,228
2022,6,June,Q2,West,P007,ERP License,Software,31135.15,5604.33,25530.82,285
2022,6,June,Q2,Central,P007,ERP License,Software,13469.06,2424.43,11044.63,295
2022,6,June,Q2,North,P008,Mechanical Keyboard,Electronics,24772.12,10404.29,14367.83,105
2022,6,June,Q2,South,P008,Mechanical Keyboard,Electronics,37222.64,15633.51,21589.13,168
2022,6,June,Q2,East,P008,Mechanical Keyboard,Electronics,4539.4,1906.55,2632.85,37
2022,6,June,Q2,West,P008,Mechanical Keyboard,Electronics,12658.22,5316.45,7341.77,220
2022,6,June,Q2,Central,P008,Mechanical Keyboard,Electronics,7338.18,3082.04,4256.14,213
2022,6,June,Q2,North,P009,Webcam HD,Electronics,5783.56,2544.77,3238.79,32
2022,6,June,Q2,South,P009,Webcam HD,Electronics,42125.52,18535.23,23590.29,163
2022,6,June,Q2,East,P009,Webcam HD,Electronics,19166.05,8433.06,10732.99,273
2022,6,June,Q2,West,P009,Webcam HD,Electronics,11761.55,5175.08,6586.47,123
2022,6,June,Q2,Central,P009,Webcam HD,Electronics,8606.57,3786.89,4819.68,121
2022,6,June,Q2,North,P010,Headset Pro,Electronics,19281.07,8869.29,10411.78,235
2022,6,June,Q2,South,P010,Headset Pro,Electronics,17573.0,8083.58,9489.42,122
2022,6,June,Q2,East,P010,Headset Pro,Electronics,4589.41,2111.13,2478.28,49
2022,6,June,Q2,West,P010,Headset Pro,Electronics,8355.81,3843.67,4512.14,46
2022,6,June,Q2,Central,P010,Headset Pro,Electronics,40437.74,18601.36,21836.38,140
2022,7,July,Q3,North,P001,Laptop Pro 15,Electronics,9095.48,4729.65,4365.83,286
2022,7,July,Q3,South,P001,Laptop Pro 15,Electronics,12545.08,6523.44,6021.64,178
2022,7,July,Q3,East,P001,Laptop Pro 15,Electronics,42643.98,22174.87,20469.11,108
